Country,States,Population,Birth Rate,Births,Death Rate,Deaths,Inbound Migration,Outbound Migration,Population Growth %
Afghanistan,Badakhshan,951039.867033268,,,,,,,0.01
Afghanistan,Badghis,496003.304447312,,,,,,,0.01
Afghanistan,Baghlan,910867.197701704,,,,,,,0.01
Afghanistan,Balkh,1325780.09543211,,,,,,,0.01
Afghanistan,Bamyan,487262.506071504,,,,,,,0.01
Afghanistan,Daykundi,507385.344071464,,,,,,,0.01
Afghanistan,Farah,507451.350100389,,,,,,,0.01
Afghanistan,Faryab,998238.178079944,,,,,,,0.01
Afghanistan,Ghazni,1228943.25045123,,,,,,,0.01
Afghanistan,Ghor,790368.19144261,,,,,,,0.01
Afghanistan,Helmand,924795.469896199,,,,,,,0.01
Afghanistan,Herat,1890374.66493719,,,,,,,0.01
Afghanistan,Jowzjan,540304.350860724,,,,,,,0.01
Afghanistan,Kabul,4373376.45984558,,,,,,,0.01
Afghanistan,Kandahar,1226705.04601587,,,,,,,0.01
Afghanistan,Kapisa,441050.285093313,,,,,,,0.01
Afghanistan,Khost,574634.486541091,,,,,,,0.01
Afghanistan,Kunar,450693.165864429,,,,,,,0.01
Afghanistan,Kunduz,1010129.26419988,,,,,,,0.01
Afghanistan,Laghman,445628.703281466,,,,,,,0.01
Afghanistan,Logar,392080.812270488,,,,,,,0.01
Afghanistan,Nangarhar,1517526.60936752,,,,,,,0.01
Afghanistan,Nimruz,164993.070302542,,,,,,,0.01
Afghanistan,Nuristan,147980.51639283,,,,,,,0.01
Afghanistan,Paktia,552037.422547795,,,,,,,0.01
Afghanistan,Paktika,434781.712528145,,,,,,,0.01
Afghanistan,Panjshir,371935.972260886,,,,,,,0.01
Afghanistan,Parwan,664562.700494494,,,,,,,0.01
Afghanistan,Samangan,387963.436193462,,,,,,,0.01
Afghanistan,Sar-e Pol,559628.115874155,,,,,,,0.01
Afghanistan,Takhar,983425.825134393,,,,,,,0.01
Afghanistan,Uruzgan,386853.334797907,,,,,,,0.01
Afghanistan,Wardak,596341.469235248,,,,,,,0.01
Afghanistan,Zabul,304153.781103124,,,,,,,0.01
Albania,Berat,122014.144650324,,,,,,,0.01
Albania,Dibër,115867.583229532,,,,,,,0.01
Albania,Durrës,290723.554399607,,,,,,,0.01
Albania,Elbasan,270098.670543278,,,,,,,0.01
Albania,Fier,289915.480590951,,,,,,,0.01
Albania,Gjirokastër,59386.424296787,,,,,,,0.01
Albania,Korçë,204849.710768346,,,,,,,0.01
Albania,Kukës,75434.8901476576,,,,,,,0.01
Albania,Lezhë,122711.208319424,,,,,,,0.01
Albania,Shkodër,200025.270108746,,,,,,,0.01
Albania,Tirana,906248.775859658,,,,,,,0.01
Albania,Vlorë,188939.257523409,,,,,,,0.01
Algeria,Adrar,439740.165428289,,,,,,,0.01
Algeria,Chlef,1013810.60044946,,,,,,,0.01
Algeria,Laghouat,477371.602646246,,,,,,,0.01
Algeria,Oum El Bouaghi,644422.860941629,,,,,,,0.01
Algeria,Batna,1128133.04254735,,,,,,,0.01
Algeria,Béjaïa,915918.659097152,,,,,,,0.01
Algeria,Biskra,730328.707496006,,,,,,,0.01
Algeria,Béchar,274891.108279763,,,,,,,0.01
Algeria,Blida,1009984.25095452,,,,,,,0.01
Algeria,Bouïra,694813.463569034,,,,,,,0.01
Algeria,Tamanrasset,198709.149895638,,,,,,,0.01
Algeria,Tébessa,657287.035942548,,,,,,,0.01
Algeria,Tlemcen,945611.371199871,,,,,,,0.01
Algeria,Tiaret,842136.919946658,,,,,,,0.01
Algeria,Tizi Ouzou,1119748.2766912,,,,,,,0.01
Algeria,Alger,2947730.24274148,,,,,,,0.01
Algeria,Djelfa,1223334.73817531,,,,,,,0.01
Algeria,Jijel,634469.951852836,,,,,,,0.01
Algeria,Sétif,1496286.66933257,,,,,,,0.01
Algeria,Saïda,328715.024502609,,,,,,,0.01
Algeria,Skikda,904277.595814038,,,,,,,0.01
Algeria,Sidi Bel Abbès,603424.116157157,,,,,,,0.01
Algeria,Annaba,640108.466869176,,,,,,,0.01
Algeria,Guelma,482305.053262706,,,,,,,0.01
Algeria,Constantine,943198.150778724,,,,,,,0.01
Algeria,Médéa,831018.904438206,,,,,,,0.01
Algeria,Mostaganem,747015.231626483,,,,,,,0.01
Algeria,M'Sila,991936.602500312,,,,,,,0.01
Algeria,Mascara,781030.338532435,,,,,,,0.01
Algeria,Ouargla,552589.472971529,,,,,,,0.01
Algeria,Oran,1584751.74964481,,,,,,,0.01
Algeria,El Bayadh,262210.950086756,,,,,,,0.01
Algeria,Illizi,54494.9775169149,,,,,,,0.01
Algeria,Bordj Bou Arréridj,634453.950391278,,,,,,,0.01
Algeria,Boumerdès,795091.622876128,,,,,,,0.01
Algeria,El Tarf,411820.615284415,,,,,,,0.01
Algeria,Tindouf,159014.524228105,,,,,,,0.01
Algeria,Tissemsilt,296393.072247715,,,,,,,0.01
Algeria,El Oued,673995.562082668,,,,,,,0.01
Algeria,Khenchela,384303.101862173,,,,,,,0.01
Algeria,Souk Ahras,440339.22014535,,,,,,,0.01
Algeria,Tipaza,617717.421693433,,,,,,,0.01
Algeria,Mila,768489.193036709,,,,,,,0.01
Algeria,Aïn Defla,771960.510103348,,,,,,,0.01
Algeria,Naâma,209489.134528687,,,,,,,0.01
Algeria,Aïn Témouchent,384600.128992336,,,,,,,0.01
Algeria,Ghardaïa,376022.345506144,,,,,,,0.01
Algeria,Relizane,733126.963085881,,,,,,,0.01
Algeria,El M'ghair,162281.822659886,,,,,,,0.01
Algeria,El Menia,57281.2320106225,,,,,,,0.01
