Country,States,Population,Population Growth %
Afghanistan,Badakhshan,951067.00895379,0.024
Afghanistan,Badghis,496017.459986669,0.024
Afghanistan,Baghlan,910893.193126232,0.024
Afghanistan,Balkh,1325817.93214035,0.024
Afghanistan,Bamyan,487276.412155435,0.024
Afghanistan,Daykundi,507399.824445169,0.024
Afghanistan,Farah,507465.832357853,0.024
Afghanistan,Faryab,998266.66700268,0.024
Afghanistan,Ghazni,1228978.32351303,0.024
Afghanistan,Ghor,790390.747921448,0.024
Afghanistan,Helmand,924821.862822525,0.024
Afghanistan,Herat,1890428.61472488,0.024
Afghanistan,Jowzjan,540319.77071667,0.024
Afghanistan,Kabul,4373501.27252737,0.024
Afghanistan,Kandahar,1226740.05520109,0.024
Afghanistan,Kapisa,441062.872317256,0.024
Afghanistan,Khost,574650.886151773,0.024
Afghanistan,Kunar,450706.02828851,0.024
Afghanistan,Kunduz,1010158.09248475,0.024
Afghanistan,Laghman,445641.421169817,0.024
Afghanistan,Logar,392092.001944669,0.024
Afghanistan,Nangarhar,1517569.91836859,0.024
Afghanistan,Nimruz,164997.77907339,0.024
Afghanistan,Nuristan,147984.739638936,0.024
Afghanistan,Paktia,552053.177256264,0.024
Afghanistan,Paktika,434794.120852017,0.024
Afghanistan,Panjshir,371946.587017373,0.024
Afghanistan,Parwan,664581.666584796,0.024
Afghanistan,Samangan,387974.508361008,0.024
Afghanistan,Sar-e Pol,559644.087214968,0.024
Afghanistan,Takhar,983453.891324372,0.024
Afghanistan,Uruzgan,386864.375284043,0.024
Afghanistan,Wardak,596358.488345932,0.024
Afghanistan,Zabul,304162.461409848,0.024
Albania,Berat,122017.626836856,0.0013
Albania,Dibër,115870.889998095,0.0013
Albania,Durrës,290731.851418355,0.0013
Albania,Elbasan,270106.378944265,0.0013
Albania,Fier,289923.754547916,0.0013
Albania,Gjirokastër,59388.1191380489,0.0013
Albania,Korçë,204855.557015976,0.0013
Albania,Kukës,75437.0429993559,0.0013
Albania,Lezhë,122714.710399598,0.0013
Albania,Shkodër,200030.978670681,0.0013
Albania,Tirana,906274.639478103,0.0013
